,cuisines,city,platform,net_profit
656,Chinese,Delhi,swiggy,124292
657,Italian,Delhi,swiggy,41224
658,Biryani,Delhi,swiggy,72354
659,Mughlai,Delhi,swiggy,100037
660,Street Food,Delhi,swiggy,58115
661,Mughlai,Delhi,swiggy,147747
662,Biryani,Delhi,swiggy,193347
663,Japanese,Delhi,swiggy,164029
664,Desserts,Delhi,swiggy,96321
665,Desserts,Delhi,swiggy,77808
666,Lebanese,Delhi,swiggy,293589
667,Continental,Delhi,swiggy,101579
668,Korean,Delhi,swiggy,26395
669,Continental,Delhi,swiggy,77846
670,Mexican,Delhi,swiggy,143914
671,Thai,Delhi,swiggy,97802
672,Continental,Delhi,swiggy,208384
673,Street Food,Delhi,swiggy,94283
674,Street Food,Delhi,swiggy,89809
675,Street Food,Delhi,swiggy,24727
676,North Indian,Delhi,swiggy,178989
677,Mediterranean,Delhi,swiggy,83785
678,Bakery,Delhi,swiggy,68674
679,Street Food,Delhi,swiggy,64115
680,Lebanese,Delhi,swiggy,124687
681,North Indian,Delhi,swiggy,104815
682,Bakery,Delhi,swiggy,145156
683,South Indian,Delhi,swiggy,261275
684,Thai,Delhi,swiggy,37511
685,Chinese,Delhi,swiggy,305216
686,Biryani,Delhi,swiggy,28200
687,Pan-Asian,Delhi,swiggy,50114
688,Pan-Asian,Delhi,swiggy,101052
689,Thai,Delhi,swiggy,69891
690,Mexican,Delhi,swiggy,101440
691,Bakery,Delhi,swiggy,141952
692,Cafe,Delhi,swiggy,133637
693,Mexican,Delhi,swiggy,122944
694,North Indian,Delhi,swiggy,112592
695,Cafe,Delhi,swiggy,179152
696,Biryani,Delhi,swiggy,87900
697,Pan-Asian,Delhi,swiggy,326538
698,North Indian,Delhi,swiggy,57172
699,Mediterranean,Delhi,swiggy,92139
700,Japanese,Delhi,swiggy,41097
701,Biryani,Delhi,swiggy,263323
702,Fast Food,Delhi,swiggy,179379
703,Bakery,Delhi,swiggy,46426
704,Italian,Delhi,swiggy,68367
705,Thai,Delhi,swiggy,142172
706,Street Food,Delhi,swiggy,16762
707,Bakery,Delhi,swiggy,128460
708,Biryani,Delhi,swiggy,42104
709,Street Food,Delhi,swiggy,166465
710,Lebanese,Delhi,swiggy,86386
711,Seafood,Delhi,swiggy,131778
712,Pan-Asian,Delhi,swiggy,173764
713,North Indian,Delhi,swiggy,112330
714,South Indian,Pune,swiggy,33470
715,Bakery,Pune,swiggy,22092
716,Biryani,Pune,swiggy,143935
717,Biryani,Pune,swiggy,230909
718,Biryani,Pune,swiggy,197308
719,Italian,Pune,swiggy,60530
720,Italian,Pune,swiggy,129048
721,Biryani,Pune,swiggy,25360
722,Continental,Pune,swiggy,16104
723,Street Food,Pune,swiggy,158393
724,Multi-Cuisine,Pune,swiggy,120924
725,Desserts,Pune,swiggy,180009
726,Mediterranean,Pune,swiggy,184412
727,Korean,Pune,swiggy,80926
728,Pan-Asian,Pune,swiggy,25194
729,Cafe,Pune,swiggy,286598
730,Desserts,Pune,swiggy,103605
731,Mediterranean,Pune,swiggy,74792
732,Seafood,Pune,swiggy,51757
733,Street Food,Pune,swiggy,106328
734,Biryani,Pune,swiggy,221498
735,Mediterranean,Pune,swiggy,155386
736,Korean,Pune,swiggy,148383
737,Continental,Pune,swiggy,58162
738,Mughlai,Pune,swiggy,100488
739,Mughlai,Pune,swiggy,160124
740,North Indian,Pune,swiggy,158760
741,Japanese,Pune,swiggy,109363
742,Cafe,Pune,swiggy,94330
743,Thai,Pune,swiggy,106370
744,Chinese,Pune,swiggy,83044
745,Continental,Pune,swiggy,284986
746,Street Food,Pune,swiggy,178534
747,Chinese,Pune,swiggy,207116
748,Street Food,Pune,swiggy,46740
749,Desserts,Pune,swiggy,319915
750,Lebanese,Pune,swiggy,322671
751,Fast Food,Pune,swiggy,102865
752,Fast Food,Pune,swiggy,82826
753,Street Food,Pune,swiggy,88686
754,Biryani,Pune,swiggy,151042
755,Multi-Cuisine,Pune,swiggy,21550
756,Korean,Pune,swiggy,20334
757,Mughlai,Pune,swiggy,17027
758,Bakery,Pune,swiggy,104441
759,Mexican,Pune,swiggy,32361
760,Street Food,Pune,swiggy,302932
761,Thai,Pune,swiggy,73070
762,North Indian,Pune,swiggy,96671
763,Japanese,Pune,swiggy,64193
764,Mediterranean,Pune,swiggy,258948
765,Seafood,Pune,swiggy,307476
766,Desserts,Pune,swiggy,177098
767,Multi-Cuisine,Pune,swiggy,231486
768,Thai,Pune,swiggy,59404
769,Lebanese,Pune,swiggy,143217
770,Desserts,Pune,swiggy,111079
771,Lebanese,Pune,swiggy,39261
772,Cafe,Pune,swiggy,156021
773,Biryani,Pune,swiggy,161457
774,Thai,Pune,swiggy,80701
775,Bakery,Pune,swiggy,168176
776,Mediterranean,Pune,swiggy,35970
777,Korean,Pune,swiggy,72770
778,Biryani,Pune,swiggy,121452
779,Multi-Cuisine,Pune,swiggy,199972
780,Mediterranean,Pune,swiggy,17747
781,Cafe,Pune,swiggy,115861
782,Fast Food,Pune,swiggy,156730
783,Mughlai,Pune,swiggy,12855
784,North Indian,Pune,swiggy,173221
785,Pan-Asian,Pune,swiggy,83303
786,Multi-Cuisine,Pune,swiggy,82671
787,Bakery,Pune,swiggy,35635
788,Fast Food,Pune,swiggy,201069
789,Italian,Pune,swiggy,44448
790,North Indian,Pune,swiggy,125845
791,Mediterranean,Pune,swiggy,119077
792,Fast Food,Pune,swiggy,180999
793,Lebanese,Pune,swiggy,139025
794,Multi-Cuisine,Pune,swiggy,147105
795,Street Food,Pune,swiggy,13928
796,Mexican,Pune,swiggy,75719
797,Bakery,Pune,swiggy,66326
798,Japanese,Pune,swiggy,218400
799,Korean,Pune,swiggy,103566
800,Multi-Cuisine,Pune,swiggy,151634
801,Mughlai,Pune,swiggy,99322
802,Multi-Cuisine,Pune,swiggy,144648
803,Mexican,Pune,swiggy,27495
804,Mexican,Pune,swiggy,211861
805,Cafe,Pune,swiggy,198450
806,Cafe,Pune,swiggy,128781
807,Mediterranean,Pune,swiggy,21777
808,Continental,Pune,swiggy,152138
809,Desserts,Pune,swiggy,339943
810,Chinese,Pune,swiggy,221138
811,Italian,Pune,swiggy,241518
812,Vietnamese,Pune,swiggy,102521
813,Chinese,Pune,swiggy,94155
814,Cafe,Pune,swiggy,332659
815,Italian,Pune,swiggy,171642
816,North Indian,Pune,swiggy,139491
817,Seafood,Pune,swiggy,164462
818,Mexican,Pune,swiggy,199820
819,Fast Food,Pune,swiggy,41975
820,South Indian,Pune,swiggy,24404
821,Street Food,Pune,swiggy,50046
822,Biryani,Pune,swiggy,143523
823,Street Food,Pune,swiggy,38283
824,Lebanese,Pune,swiggy,65072
825,North Indian,Pune,swiggy,271948
826,Cafe,Pune,swiggy,276774
827,Japanese,Pune,swiggy,64545
828,Biryani,Pune,swiggy,125718
829,North Indian,Pune,swiggy,138583
830,Cafe,Pune,swiggy,88286
831,South Indian,Pune,swiggy,164462
832,Mexican,Pune,swiggy,152418
833,Cafe,Pune,swiggy,146611
834,Multi-Cuisine,Pune,swiggy,161141
835,Lebanese,Pune,swiggy,19006
836,Mediterranean,Pune,swiggy,49421
837,Street Food,Pune,swiggy,89049
838,Bakery,Pune,swiggy,132268
839,Seafood,Pune,swiggy,85529
840,Lebanese,Pune,swiggy,108842
841,Fast Food,Pune,swiggy,54031
842,Japanese,Pune,swiggy,67960
843,North Indian,Pune,swiggy,113734
844,Korean,Pune,swiggy,251336
845,Fast Food,Pune,swiggy,152215
846,Continental,Pune,swiggy,200647
847,Pan-Asian,Pune,swiggy,48490
848,Mexican,Pune,swiggy,112455
849,Thai,Pune,swiggy,98567
850,Bakery,Pune,swiggy,226916
851,Cafe,Pune,swiggy,36952
852,Multi-Cuisine,Pune,swiggy,161499
853,Pan-Asian,Pune,swiggy,143215
854,North Indian,Pune,swiggy,66672
855,Cafe,Pune,swiggy,124330
856,Japanese,Pune,swiggy,241296
857,Mughlai,Pune,swiggy,62713
858,Bakery,Pune,swiggy,162434
859,Pan-Asian,Pune,swiggy,16258
860,Korean,Pune,swiggy,62139
861,Continental,Pune,swiggy,25076
862,Cafe,Pune,swiggy,74077
863,Italian,Pune,swiggy,196148
864,Chinese,Pune,swiggy,204349
865,Bakery,Pune,swiggy,150101
866,Continental,Pune,swiggy,29686
867,Mughlai,Pune,swiggy,162668
868,Continental,Pune,swiggy,182868
869,Japanese,Pune,swiggy,137056
870,Mughlai,Pune,swiggy,80131
871,Mexican,Pune,swiggy,347283
872,Vietnamese,Pune,swiggy,83371
873,Seafood,Pune,swiggy,149617
874,Korean,Pune,swiggy,21602
875,North Indian,Pune,swiggy,49152
876,Korean,Pune,swiggy,121425
877,Continental,Pune,swiggy,45960
878,Italian,Pune,swiggy,168891
879,South Indian,Pune,swiggy,32652
880,South Indian,Hyderabad,swiggy,93079
881,Korean,Hyderabad,swiggy,154520
882,Thai,Hyderabad,swiggy,119616
883,Mexican,Hyderabad,swiggy,82562
884,Desserts,Hyderabad,swiggy,215756
885,North Indian,Hyderabad,swiggy,53403
886,Vietnamese,Hyderabad,swiggy,181568
887,South Indian,Hyderabad,swiggy,50868
888,Mughlai,Hyderabad,swiggy,82295
889,Chinese,Hyderabad,swiggy,109545
890,Bakery,Hyderabad,swiggy,169460
891,Mediterranean,Hyderabad,swiggy,59917
892,Lebanese,Hyderabad,swiggy,40585
893,Mediterranean,Hyderabad,swiggy,284616
894,Mediterranean,Hyderabad,swiggy,54711
895,Desserts,Hyderabad,swiggy,136598
896,North Indian,Hyderabad,swiggy,53293
897,South Indian,Hyderabad,swiggy,90863
898,Biryani,Hyderabad,swiggy,25491
899,Mexican,Hyderabad,swiggy,229193
900,Street Food,Hyderabad,swiggy,31370
901,North Indian,Hyderabad,swiggy,100427
902,Street Food,Hyderabad,swiggy,51235
903,South Indian,Hyderabad,swiggy,50691
904,Italian,Hyderabad,swiggy,222631
905,Continental,Hyderabad,swiggy,196056
906,Chinese,Hyderabad,swiggy,157833
907,South Indian,Hyderabad,swiggy,151071
908,Lebanese,Hyderabad,swiggy,170273
909,Multi-Cuisine,Hyderabad,swiggy,28571
910,Bakery,Hyderabad,swiggy,86275
911,Biryani,Hyderabad,swiggy,100871
912,Biryani,Hyderabad,swiggy,160735
913,Korean,Hyderabad,swiggy,187802
914,Seafood,Hyderabad,swiggy,390100
915,Bakery,Hyderabad,swiggy,131839
916,Korean,Hyderabad,swiggy,306437
917,Mughlai,Hyderabad,swiggy,271790
918,Vietnamese,Hyderabad,swiggy,168205
919,Biryani,Hyderabad,swiggy,47425
920,Desserts,Hyderabad,swiggy,36903
921,Thai,Hyderabad,swiggy,103477
922,Cafe,Hyderabad,swiggy,64809
923,Mexican,Hyderabad,swiggy,226527
924,Korean,Hyderabad,swiggy,130543
925,Vietnamese,Hyderabad,swiggy,86999
926,Lebanese,Hyderabad,swiggy,195854
927,Fast Food,Hyderabad,swiggy,116046
928,Desserts,Hyderabad,swiggy,75044
929,Korean,Hyderabad,swiggy,47120
930,South Indian,Hyderabad,swiggy,57907
931,Seafood,Hyderabad,swiggy,59210
932,Chinese,Hyderabad,swiggy,211090
933,Seafood,Hyderabad,swiggy,152097
934,Italian,Hyderabad,swiggy,278905
935,Multi-Cuisine,Hyderabad,swiggy,90956
936,Desserts,Hyderabad,swiggy,195275
937,Italian,Hyderabad,swiggy,29512
938,Chinese,Hyderabad,swiggy,49715
939,Korean,Hyderabad,swiggy,172420
940,Biryani,Hyderabad,swiggy,59625
941,Mexican,Hyderabad,swiggy,169506
942,Multi-Cuisine,Hyderabad,swiggy,239454
943,Street Food,Hyderabad,swiggy,207400
944,Desserts,Hyderabad,swiggy,83612
945,Desserts,Hyderabad,swiggy,98212
946,Bakery,Hyderabad,swiggy,21650
947,Korean,Hyderabad,swiggy,150039
948,South Indian,Hyderabad,swiggy,74048
949,Thai,Hyderabad,swiggy,196747
950,Biryani,Hyderabad,swiggy,28961
951,North Indian,Hyderabad,swiggy,73443
952,Chinese,Hyderabad,swiggy,268685
953,Mediterranean,Hyderabad,swiggy,288210
954,Lebanese,Hyderabad,swiggy,195840
955,Desserts,Hyderabad,swiggy,90419
956,Pan-Asian,Hyderabad,swiggy,93464
957,Desserts,Hyderabad,swiggy,190937
958,Desserts,Hyderabad,swiggy,88548
959,Vietnamese,Hyderabad,swiggy,60147
960,Fast Food,Hyderabad,swiggy,92726
961,Mexican,Hyderabad,swiggy,144878
962,Mediterranean,Hyderabad,swiggy,32170
963,Desserts,Hyderabad,swiggy,115064
964,Mediterranean,Hyderabad,swiggy,14274
965,Vietnamese,Hyderabad,swiggy,51278
966,Korean,Hyderabad,swiggy,67988
967,Korean,Hyderabad,swiggy,167310
968,Mexican,Hyderabad,swiggy,99364
969,Desserts,Hyderabad,swiggy,218178
970,Street Food,Hyderabad,swiggy,44986
971,North Indian,Hyderabad,swiggy,28030
972,Chinese,Hyderabad,swiggy,80191
973,Japanese,Hyderabad,swiggy,116112
974,Japanese,Hyderabad,swiggy,135358
975,South Indian,Hyderabad,swiggy,141563
976,Lebanese,Hyderabad,swiggy,30096
977,Biryani,Hyderabad,swiggy,195897
978,Bakery,Hyderabad,swiggy,207034
979,Mughlai,Hyderabad,swiggy,31465
980,Fast Food,Hyderabad,swiggy,116987
981,Mughlai,Hyderabad,swiggy,244582
982,South Indian,Hyderabad,swiggy,149549
983,Fast Food,Hyderabad,swiggy,298083
984,Biryani,Hyderabad,swiggy,277375
985,Mediterranean,Hyderabad,swiggy,151004
986,Continental,Hyderabad,swiggy,210998
987,Desserts,Hyderabad,swiggy,118752
988,Mexican,Hyderabad,swiggy,174525
989,Vietnamese,Hyderabad,swiggy,64888
990,Cafe,Hyderabad,swiggy,87635
991,Desserts,Hyderabad,swiggy,154670
992,North Indian,Hyderabad,swiggy,256189
993,North Indian,Hyderabad,swiggy,140025
994,North Indian,Hyderabad,swiggy,35810
995,Bakery,Hyderabad,swiggy,131302
996,Street Food,Hyderabad,swiggy,107964
997,Mexican,Hyderabad,swiggy,49427
998,Japanese,Hyderabad,swiggy,244621
999,Bakery,Hyderabad,swiggy,135549
1000,Chinese,Hyderabad,swiggy,64144
1001,Desserts,Hyderabad,swiggy,228296
1002,Cafe,Hyderabad,swiggy,26134
1003,Italian,Hyderabad,swiggy,30071
1004,Mexican,Hyderabad,swiggy,217540
1005,Mughlai,Hyderabad,swiggy,101486
1006,Korean,Hyderabad,swiggy,171600
1007,Thai,Hyderabad,swiggy,104178
1008,Seafood,Hyderabad,swiggy,55315
1009,South Indian,Hyderabad,swiggy,70174
1010,Italian,Hyderabad,swiggy,68311
1011,Bakery,Hyderabad,swiggy,26926
1012,Street Food,Hyderabad,swiggy,78144
1013,Chinese,Hyderabad,swiggy,159795
1014,Thai,Hyderabad,swiggy,293214
1015,Street Food,Hyderabad,swiggy,122184
1016,Chinese,Chennai,swiggy,220649
1017,Seafood,Chennai,swiggy,80856
1018,Korean,Chennai,swiggy,329329
1019,Seafood,Chennai,swiggy,95398
1020,Continental,Chennai,swiggy,34620
1021,Mexican,Chennai,swiggy,53489
1022,Desserts,Chennai,swiggy,362109
1023,Seafood,Chennai,swiggy,269372
1024,Mughlai,Chennai,swiggy,307600
1025,Street Food,Chennai,swiggy,60455
1026,Korean,Chennai,swiggy,173722
1027,Cafe,Chennai,swiggy,78443
1028,Bakery,Chennai,swiggy,191757
1029,Italian,Chennai,swiggy,39344
1030,Italian,Chennai,swiggy,162855
1031,Continental,Chennai,swiggy,94239
1032,Italian,Chennai,swiggy,141642
1033,Desserts,Chennai,swiggy,131930
1034,Pan-Asian,Chennai,swiggy,139935
1035,Mexican,Chennai,swiggy,22297
1036,Street Food,Chennai,swiggy,33873
1037,Pan-Asian,Chennai,swiggy,62425
1038,Bakery,Chennai,swiggy,318625
1039,Japanese,Chennai,swiggy,96090
1040,Biryani,Chennai,swiggy,39534
1041,Cafe,Chennai,swiggy,137606
1042,Biryani,Chennai,swiggy,30718
1043,Lebanese,Chennai,swiggy,79630
1044,South Indian,Chennai,swiggy,130945
1045,Thai,Chennai,swiggy,161329
1046,Lebanese,Chennai,swiggy,78143
1047,Mexican,Chennai,swiggy,81590
1048,Chinese,Chennai,swiggy,172075
1049,Continental,Chennai,swiggy,234841
1050,Biryani,Chennai,swiggy,140799
1051,Mediterranean,Chennai,swiggy,93181
1052,Japanese,Chennai,swiggy,221158
1053,Bakery,Chennai,swiggy,192021
1054,Seafood,Chennai,swiggy,112837
1055,Italian,Chennai,swiggy,110661
1056,Vietnamese,Chennai,swiggy,57483
1057,Seafood,Chennai,swiggy,173145
1058,Pan-Asian,Chennai,swiggy,222226
1059,Multi-Cuisine,Chennai,swiggy,112106
1060,Italian,Chennai,swiggy,64289
1061,Biryani,Chennai,swiggy,117362
1062,Bakery,Chennai,swiggy,53768
1063,Continental,Chennai,swiggy,211474
1064,Desserts,Chennai,swiggy,84388
1065,Street Food,Chennai,swiggy,156897
1066,Multi-Cuisine,Chennai,swiggy,24224
1067,Fast Food,Chennai,swiggy,57634
1068,South Indian,Chennai,swiggy,46866
1069,North Indian,Chennai,swiggy,83583
1070,Fast Food,Chennai,swiggy,190641
1071,North Indian,Chennai,swiggy,100503
1072,Thai,Chennai,swiggy,108300
1073,Pan-Asian,Chennai,swiggy,12969
1074,Street Food,Chennai,swiggy,215369
1075,Vietnamese,Chennai,swiggy,64370
1076,Biryani,Chennai,swiggy,120912
1077,Fast Food,Chennai,swiggy,97123
1078,Cafe,Chennai,swiggy,142685
1079,Mughlai,Chennai,swiggy,98618
1080,Pan-Asian,Chennai,swiggy,261869
1081,Seafood,Chennai,swiggy,162918
1082,South Indian,Chennai,swiggy,42495
1083,Mughlai,Chennai,swiggy,143211
1084,Korean,Chennai,swiggy,67766
1085,Pan-Asian,Chennai,swiggy,103058
1086,North Indian,Chennai,swiggy,197776
1087,Italian,Chennai,swiggy,212443
1088,Bakery,Chennai,swiggy,51550
1089,Chinese,Chennai,swiggy,186408
1090,Thai,Chennai,swiggy,184325
1091,Street Food,Chennai,swiggy,15633
1092,Lebanese,Chennai,swiggy,89538
1093,Bakery,Chennai,swiggy,87417
1094,Italian,Chennai,swiggy,194733
1095,Japanese,Chennai,swiggy,102296
1096,South Indian,Chennai,swiggy,125996
1097,Korean,Chennai,swiggy,214576
1098,South Indian,Chennai,swiggy,111727
1099,Vietnamese,Chennai,swiggy,254850
1100,Pan-Asian,Chennai,swiggy,153890
1101,Vietnamese,Chennai,swiggy,10545
1102,Thai,Chennai,swiggy,23047
1103,Desserts,Chennai,swiggy,337686
1104,Chinese,Chennai,swiggy,96378
1105,Seafood,Chennai,swiggy,121581
1106,Biryani,Chennai,swiggy,37124
1107,Mexican,Chennai,swiggy,145844
1108,Street Food,Chennai,swiggy,208754
1109,Chinese,Chennai,swiggy,168318
1110,Italian,Chennai,swiggy,342147
1111,Thai,Chennai,swiggy,279225
1112,Mughlai,Chennai,swiggy,168574
1113,Mexican,Chennai,swiggy,143638
1114,Street Food,Chennai,swiggy,100474
1115,Chinese,Chennai,swiggy,228659
1116,Continental,Chennai,swiggy,236113
1117,Seafood,Chennai,swiggy,45372
1118,Seafood,Chennai,swiggy,75417
1119,Vietnamese,Chennai,swiggy,32263
1120,Italian,Chennai,swiggy,196924
1121,Lebanese,Chennai,swiggy,23954
1122,Italian,Chennai,swiggy,31846
1123,Cafe,Chennai,swiggy,84496
1124,Chinese,Chennai,swiggy,93279
1125,Fast Food,Chennai,swiggy,308438
1126,Biryani,Chennai,swiggy,83329
1127,Lebanese,Chennai,swiggy,241397
1128,Fast Food,Chennai,swiggy,144821
1129,Cafe,Chennai,swiggy,179193
1130,Mughlai,Chennai,swiggy,102161
1131,Bakery,Chennai,swiggy,91608
1132,Seafood,Chennai,swiggy,135702
1133,Continental,Chennai,swiggy,74945
1134,Mediterranean,Chennai,swiggy,183417
1135,Thai,Chennai,swiggy,124923
1136,Mediterranean,Chennai,swiggy,43704
1137,Lebanese,Kolkata,swiggy,16879
1138,Korean,Kolkata,swiggy,202440
1139,Japanese,Kolkata,swiggy,36924
1140,Mexican,Kolkata,swiggy,50685
1141,Street Food,Kolkata,swiggy,45259
1142,Fast Food,Kolkata,swiggy,137701
1143,Multi-Cuisine,Kolkata,swiggy,134750
1144,North Indian,Kolkata,swiggy,51873
1145,Pan-Asian,Kolkata,swiggy,96225
1146,Street Food,Kolkata,swiggy,72816
1147,Cafe,Kolkata,swiggy,206642
1148,Japanese,Kolkata,swiggy,118327
1149,Thai,Kolkata,swiggy,147180
1150,Mexican,Kolkata,swiggy,113851
1151,Mediterranean,Kolkata,swiggy,82603
1152,Cafe,Kolkata,swiggy,202855
1153,Multi-Cuisine,Kolkata,swiggy,127090
1154,Italian,Kolkata,swiggy,161182
1155,Mughlai,Kolkata,swiggy,46588
1156,Mediterranean,Kolkata,swiggy,159211
1157,Mediterranean,Kolkata,swiggy,195274
1158,Cafe,Kolkata,swiggy,79902
1159,Street Food,Kolkata,swiggy,82127
1160,Seafood,Kolkata,swiggy,54728
1161,Street Food,Kolkata,swiggy,48031
1162,Street Food,Kolkata,swiggy,67181
1163,Pan-Asian,Kolkata,swiggy,113069
1164,Mediterranean,Kolkata,swiggy,170192
1165,Seafood,Kolkata,swiggy,172021
1166,Bakery,Kolkata,swiggy,46632
1167,Desserts,Kolkata,swiggy,36266
1168,North Indian,Kolkata,swiggy,108174
1169,Italian,Kolkata,swiggy,31016
1170,Fast Food,Kolkata,swiggy,74879
1171,Bakery,Kolkata,swiggy,151707
1172,Multi-Cuisine,Kolkata,swiggy,55062
1173,Continental,Kolkata,swiggy,121806
1174,Street Food,Kolkata,swiggy,87211
1175,Mediterranean,Kolkata,swiggy,85517
1176,Seafood,Kolkata,swiggy,170996
1177,Italian,Kolkata,swiggy,42835
1178,Street Food,Kolkata,swiggy,207751
1179,Mediterranean,Kolkata,swiggy,214182
1180,Mediterranean,Kolkata,swiggy,23423
1181,Bakery,Kolkata,swiggy,166429
1182,Street Food,Kolkata,swiggy,68915
1183,Mughlai,Kolkata,swiggy,87828
1184,Desserts,Kolkata,swiggy,215574
1185,South Indian,Kolkata,swiggy,166588
1186,Desserts,Kolkata,swiggy,174211
1187,Mexican,Kolkata,swiggy,76854
1188,Mughlai,Kolkata,swiggy,215979
1189,Desserts,Kolkata,swiggy,275886
1190,Cafe,Kolkata,swiggy,93948
1191,Seafood,Kolkata,swiggy,54558
1192,Multi-Cuisine,Kolkata,swiggy,12047
1193,Cafe,Kolkata,swiggy,220571
1194,Mediterranean,Kolkata,swiggy,55188
1195,Lebanese,Kolkata,swiggy,155866
1196,Bakery,Kolkata,swiggy,224037
1197,Seafood,Kolkata,swiggy,92337
1198,Mediterranean,Kolkata,swiggy,149445
1199,Vietnamese,Kolkata,swiggy,60188
1200,Mediterranean,Kolkata,swiggy,104793
1201,Mediterranean,Kolkata,swiggy,106178
1202,Chinese,Kolkata,swiggy,165204
1203,Korean,Kolkata,swiggy,23868
1204,Chinese,Kolkata,swiggy,191932
1205,Lebanese,Kolkata,swiggy,37877
1206,Korean,Kolkata,swiggy,26510
1207,Mexican,Kolkata,swiggy,136300
1208,Bakery,Kolkata,swiggy,55326
1209,Japanese,Kolkata,swiggy,55388
1210,Cafe,Kolkata,swiggy,66114
1211,Biryani,Kolkata,swiggy,175030
1212,Multi-Cuisine,Kolkata,swiggy,58037
1213,North Indian,Kolkata,swiggy,143018
1214,Fast Food,Kolkata,swiggy,71590
1215,Bakery,Kolkata,swiggy,162394
1216,Lebanese,Kolkata,swiggy,349309
1217,Street Food,Kolkata,swiggy,56129
1218,Chinese,Kolkata,swiggy,236715
1219,Japanese,Kolkata,swiggy,85238
1220,Mexican,Kolkata,swiggy,67284
1221,Biryani,Kolkata,swiggy,254467
1222,Bakery,Kolkata,swiggy,43008
1223,Fast Food,Kolkata,swiggy,30247
1224,Mughlai,Kolkata,swiggy,32803
1225,Pan-Asian,Kolkata,swiggy,141114
1226,Mexican,Kolkata,swiggy,115742
1227,Multi-Cuisine,Kolkata,swiggy,49354
1228,Chinese,Kolkata,swiggy,210516
1229,Fast Food,Kolkata,swiggy,101310
1230,Korean,Kolkata,swiggy,14595
1231,Vietnamese,Kolkata,swiggy,98468
1232,Lebanese,Ahmedabad,swiggy,48470
1233,Japanese,Ahmedabad,swiggy,101232
1234,Biryani,Ahmedabad,swiggy,39613
1235,North Indian,Ahmedabad,swiggy,227122
1236,Bakery,Ahmedabad,swiggy,238822
1237,Desserts,Ahmedabad,swiggy,66861
1238,North Indian,Ahmedabad,swiggy,72661
1239,Fast Food,Ahmedabad,swiggy,136879
1240,Lebanese,Ahmedabad,swiggy,142726
1241,Pan-Asian,Ahmedabad,swiggy,91265
1242,Vietnamese,Ahmedabad,swiggy,23875
1243,Pan-Asian,Ahmedabad,swiggy,89206
1244,Fast Food,Ahmedabad,swiggy,71360
1245,South Indian,Ahmedabad,swiggy,16867
1246,Mediterranean,Ahmedabad,swiggy,226706
1247,Mughlai,Ahmedabad,swiggy,181892
1248,Seafood,Ahmedabad,swiggy,135877
1249,Korean,Ahmedabad,swiggy,166743
1250,Biryani,Ahmedabad,swiggy,134150
1251,Street Food,Ahmedabad,swiggy,87009
1252,Lebanese,Ahmedabad,swiggy,206414
1253,Mexican,Ahmedabad,swiggy,146480
1254,Korean,Ahmedabad,swiggy,215500
1255,Street Food,Ahmedabad,swiggy,231873
1256,Mediterranean,Ahmedabad,swiggy,75178
1257,North Indian,Ahmedabad,swiggy,183439
1258,Korean,Ahmedabad,swiggy,46512
1259,South Indian,Ahmedabad,swiggy,93975
1260,Seafood,Ahmedabad,swiggy,113195
1261,Continental,Ahmedabad,swiggy,90106
1262,Italian,Ahmedabad,swiggy,25085
1263,Mediterranean,Ahmedabad,swiggy,98698
1264,Fast Food,Ahmedabad,swiggy,240977
1265,Cafe,Ahmedabad,swiggy,117675
1266,Street Food,Ahmedabad,swiggy,147836
1267,Mughlai,Ahmedabad,swiggy,110060
1268,Japanese,Ahmedabad,swiggy,214967
1269,Mediterranean,Ahmedabad,swiggy,108239
1270,Cafe,Ahmedabad,swiggy,92097
1271,Mediterranean,Ahmedabad,swiggy,106344
1272,Japanese,Ahmedabad,swiggy,145317
1273,Mediterranean,Ahmedabad,swiggy,230710
1274,Lebanese,Ahmedabad,swiggy,108694
1275,Chinese,Ahmedabad,swiggy,130261
1276,Mughlai,Ahmedabad,swiggy,234899
1277,Italian,Ahmedabad,swiggy,226436
1278,Street Food,Ahmedabad,swiggy,125615
1279,Japanese,Ahmedabad,swiggy,104125
1280,Korean,Ahmedabad,swiggy,263177
1281,Korean,Ahmedabad,swiggy,36039
1282,South Indian,Ahmedabad,swiggy,217819
1283,Chinese,Ahmedabad,swiggy,107329
1284,Biryani,Ahmedabad,swiggy,78983
1285,Bakery,Ahmedabad,swiggy,105294
1286,Vietnamese,Ahmedabad,swiggy,76313
1287,Vietnamese,Ahmedabad,swiggy,121171
1288,Bakery,Ahmedabad,swiggy,58627
1289,South Indian,Ahmedabad,swiggy,133786
1290,Thai,Ahmedabad,swiggy,85538
1291,Desserts,Ahmedabad,swiggy,75602
1292,Biryani,Ahmedabad,swiggy,92391
1293,Fast Food,Ahmedabad,swiggy,258294
1294,South Indian,Ahmedabad,swiggy,106954
1295,Mughlai,Ahmedabad,swiggy,84847
1296,Vietnamese,Ahmedabad,swiggy,69131
1297,South Indian,Ahmedabad,swiggy,126153
1298,Desserts,Ahmedabad,swiggy,32029
1299,Mexican,Ahmedabad,swiggy,22561
1300,Multi-Cuisine,Ahmedabad,swiggy,103754
1301,Italian,Ahmedabad,swiggy,148101
1302,North Indian,Ahmedabad,swiggy,179205
1303,Chinese,Ahmedabad,swiggy,52421
1304,Mexican,Ahmedabad,swiggy,41504
